secid,description,founded,headquarters,employees,sector,ceo,link
SFIN,"ПАО «ЭсЭфАй» (SFI) — российская финансовая группа, специализирующаяся на инвестиционной деятельности, управлении активами и предоставлении финансовых услуг. Компания входит в состав крупного российского холдинга «Сафмар» Михаила Гуцериева и фокусируется на инвестициях в высокодоходные активы в различных секторах экономики. Основные направления деятельности включают: управление инвестиционными фондами, венчурные инвестиции, финансирование инфраструктурных проектов и развитие финансовых технологий. Группа активно участвует в финансировании проектов в сфере недвижимости, энергетики и IT. Особое внимание уделяется цифровизации финансовых услуг и внедрению инновационных решений в области финтеха. Компания обладает значительным портфелем активов и продолжает расширять свое присутствие на российском финансовом рынке, сочетая консервативные стратегии управления рисками с инвестициями в перспективные высокотехнологичные проекты.",2016,"Москва, Россия","46,600+",Финансовые услуги,Игорь Сидоров,https://www.sfi.ru
SGZH,"ПАО «Сегежа» (ранее «Светогорск») — вертикально интегрированный лесопромышленный холдинг, входящий в группу «Инвестлеспром» и являющийся одним из лидеров российской лесной промышленности. Компания осуществляет полный цикл производства - от заготовки древесины до выпуска высококачественной целлюлозно-бумажной продукции. Основные производственные мощности расположены в Республике Карелия (г. Сегежа), где находится флагманское предприятие - Сегежский целлюлозно-бумажный комбинат, выпускающий мешочную бумагу, крафт-бумагу и картон. Компания специализируется на экологически чистом производстве, используя современные технологии замкнутого водооборотного цикла. «Сегежа» занимает около 30% российского рынка мешочной бумаги и активно экспортирует продукцию в 50 стран мира. В 2022 году компания запустила масштабную программу модернизации производства с инвестициями более 20 млрд рублей, направленную на увеличение мощности до 300 тыс. тонн продукции в год и внедрение инновационных решений в области глубокой переработки древесины.",2014,"Москва, Россия","20,000+",Лесная промышленность,Михаил Шамолин,https://segezha-group.com
SIBN,"ПАО «Газпром нефть» — одна из крупнейших вертикально интегрированных нефтяных компаний России, входящая в состав ПАО «Газпром». Компания осуществляет полный цикл операций — от разведки и добычи до переработки и сбыта нефтепродуктов. Основные месторождения расположены в Ханты-Мансийском и Ямало-Ненецком автономных округах, на шельфе Охотского моря (проект «Сахалин-1»), а также за рубежом (Сербия, Ирак, Венесуэла). Компания разрабатывает сложные в геологическом отношении месторождения, применяя передовые технологии, включая гидроразрыв пласта и горизонтальное бурение. «Газпром нефть» владеет современными нефтеперерабатывающими заводами (Омский НПЗ, Московский НПЗ и др.), выпускающими топливо премиум-класса. Компания активно развивает цифровые технологии (искусственный интеллект для управления месторождениями, блокчейн в логистике) и реализует масштабные арктические проекты (Приразломное месторождение). Входит в тройку лидеров по добыче нефти в России (около 60 млн тонн в год).",1995,"Санкт-Петербург, Россия","82,900+",Нефтегазовый сектор,Александр Дюков,https://www.gazprom-neft.ru
SLEN,"ПАО «Сахалинэнерго» — ведущий энергетический холдинг Сахалинской области, обеспечивающий электро- и теплоснабжение региона. Компания входит в группу «РусГидро» и объединяет генерирующие, сетевые и сбытовые активы. Основу энергосистемы составляют Южно-Сахалинская ТЭЦ-1, Сахалинская ГРЭС и разветвлённая сеть электроснабжения, включающая уникальные для России изолированные энергорайоны. Компания обслуживает более 2000 км линий электропередачи и обеспечивает энергией ключевые промышленные объекты региона, включая нефтегазовые проекты «Сахалин-1» и «Сахалин-2». Особое внимание уделяется модернизации оборудования и цифровизации процессов: внедрены интеллектуальные системы учёта, диспетчеризации и мониторинга оборудования. В условиях сложной сейсмической обстановки компания реализует специальные программы по повышению сейсмоустойчивости энергообъектов. В 2023 году начата масштабная программа перевода генерации на природный газ, что позволит значительно снизить экологическую нагрузку.",1946,"Южно-Сахалинск, Россия","2,560+",Электроэнергетика,Юров Александр,https://www.sakhalinenergo.ru
SMLT,"ГК «Самолет» — одна из ведущих российских девелоперских компаний, специализирующаяся на строительстве жилья эконом- и комфорт-класса. Компания входит в топ-5 крупнейших застройщиков России по объёмам ввода жилья и реализует проекты в Москве, Московской области и регионах. Основной акцент делается на создании комплексных жилых районов с развитой инфраструктурой — детскими садами, школами, поликлиниками и торговыми центрами. «Самолёт» применяет современные технологии строительства, включая BIM-моделирование и заводское производство элементов конструкций. Компания активно участвует в государственных программах льготной ипотеки, что делает жильё доступным для широких слоёв населения. В портфеле проектов — более 10 млн кв. м жилой недвижимости. Особое внимание уделяется качеству строительства и экологическим стандартам — все проекты сертифицируются по системе «Зелёные стандарты». В 2023 году компания запустила программу цифровизации управления жилыми комплексами с использованием технологий «умного дома».",2012,"Москва, Россия","7,000+",Девелопмент и строительство,Андрей Иваненко,https://www.samolet.ru
SNGS,"ПАО «Сургутнефтегаз» — одна из крупнейших вертикально интегрированных нефтегазовых компаний России, занимающая лидирующие позиции по объемам добычи нефти (более 60 млн тонн в год) и запасам углеводородов. Компания осуществляет полный производственный цикл: от разведки и разработки месторождений до переработки и сбыта нефтепродуктов. Основные производственные активы расположены в Ханты-Мансийском автономном округе, где компания разрабатывает более 70 месторождений с доказанными запасами нефти около 2,5 млрд баррелей. «Сургутнефтегаз» отличается уникальной финансовой политикой, поддерживая рекордные денежные резервы (свыше $50 млрд), что делает ее одной из самых финансово устойчивых компаний в отрасли. Компания владеет современными нефтеперерабатывающими мощностями (КиришиНПЗ) и развитой сбытовой сетью. Особое внимание уделяется экологическим программам и внедрению передовых технологий, включая методы увеличения нефтеотдачи пластов и цифровизацию производственных процессов.",1977,"Сургут, Россия","100,000+",Нефтегазовый сектор,Владимир Богданов,https://www.surgutneftegas.ru
SNGSP,"ПАО «Сургутнефтегаз» (прив. акции) — одна из крупнейших вертикально интегрированных нефтегазовых компаний России, занимающая лидирующие позиции по объемам добычи нефти (более 60 млн тонн в год) и запасам углеводородов. Компания осуществляет полный производственный цикл: от разведки и разработки месторождений до переработки и сбыта нефтепродуктов. Основные производственные активы расположены в Ханты-Мансийском автономном округе, где компания разрабатывает более 70 месторождений с доказанными запасами нефти около 2,5 млрд баррелей. «Сургутнефтегаз» отличается уникальной финансовой политикой, поддерживая рекордные денежные резервы (свыше $50 млрд), что делает ее одной из самых финансово устойчивых компаний в отрасли. Компания владеет современными нефтеперерабатывающими мощностями (КиришиНПЗ) и развитой сбытовой сетью. Особое внимание уделяется экологическим программам и внедрению передовых технологий, включая методы увеличения нефтеотдачи пластов и цифровизацию производственных процессов.",1977,"Сургут, Россия","100,000+",Нефтегазовый сектор,Владимир Богданов,https://www.surgutneftegas.ru
SOFL,"ПАО «Софтлайн» — ведущий российский разработчик и поставщик решений в области информационных технологий и цифровой трансформации бизнеса. Компания специализируется на внедрении ERP-систем (1С, SAP), CRM-решений, платформ для электронной коммерции и аналитических систем на базе искусственного интеллекта. Входит в топ-5 крупнейших ИТ-компаний России по версии RAEX. Основные направления деятельности включают: цифровизацию корпоративного управления, автоматизацию бизнес-процессов, разработку облачных решений и кибербезопасность. Компания обслуживает более 3000 корпоративных клиентов, включая крупнейшие предприятия нефтегазового сектора, банки и государственные структуры. «Софтлайн» активно развивает собственные R&D-центры, инвестируя в разработку отечественного программного обеспечения в рамках импортозамещения. В 2023 году компания запустила платформу для промышленного интернета вещей (IIoT) и расширила линейку решений для цифровых двойников предприятий.",1993,"Москва, Россия","11,000+",Информационные технологии,Владимир Лавров,https://www.softline.ru
SPBE,"ПАО «Санкт-Петербургская биржа» — ведущая российская фондовая биржа, занимающая второе место по объемам торгов после Московской биржи. Специализируется на организации торгов ценными бумагами, валютными операциями и производными финансовыми инструментами. Биржа играет ключевую роль в формировании цен на российские активы и является важным элементом финансовой инфраструктуры страны. Основные торговые площадки включают: рынок акций и облигаций, срочный рынок (фьючерсы и опционы), валютный рынок и товарные секции. В 2023 году биржа запустила торговлю новыми инструментами, включая криптовалютные активы в рамках экспериментального правового режима. Особое внимание уделяется развитию технологий blockchain для пост-трейдинговых операций. Биржа активно сотрудничает с азиатскими финансовыми центрами, развивая альтернативные маршруты для международных инвесторов.",1997,"Санкт-Петербург, Россия",180+,Биржевая инфраструктура,Евгений Сердюков,https://www.spbexchange.ru
STSB,"ПАО «Ставропольэнергосбыт» — крупнейшая энергосбытовая компания Ставропольского края, обеспечивающая поставки электроэнергии более чем 1,2 млн потребителей региона. Компания входит в группу «Россети» и осуществляет полный комплекс услуг на розничном рынке электроэнергии: от расчетов и обслуживания клиентов до технологического присоединения к сетям. Особое внимание уделяется цифровизации услуг: внедрены интеллектуальные системы учета электроэнергии (АИИС КУЭ), мобильное приложение для клиентов и онлайн-сервисы. Компания активно участвует в программах энергосбережения и повышения энергетической эффективности в регионе. В зоне ответственности — обслуживание более 45 тыс. юридических лиц, включая крупные промышленные предприятия и агропромышленные комплексы. «Ставропольэнергосбыт» реализует социальные программы поддержки населения и бюджетных учреждений, включая специальные тарифные условия для социально незащищенных категорий граждан.",2005,"Ставрополь, Россия",700+,Энергосбыт,Остапченко Борис,https://stavropol.tns-e.ru
STSBP,"ПАО «Ставропольэнергосбыт» (прив. акции) — крупнейшая энергосбытовая компания Ставропольского края, обеспечивающая поставки электроэнергии более чем 1,2 млн потребителей региона. Компания входит в группу «Россети» и осуществляет полный комплекс услуг на розничном рынке электроэнергии: от расчетов и обслуживания клиентов до технологического присоединения к сетям. Особое внимание уделяется цифровизации услуг: внедрены интеллектуальные системы учета электроэнергии (АИИС КУЭ), мобильное приложение для клиентов и онлайн-сервисы. Компания активно участвует в программах энергосбережения и повышения энергетической эффективности в регионе. В зоне ответственности — обслуживание более 45 тыс. юридических лиц, включая крупные промышленные предприятия и агропромышленные комплексы. «Ставропольэнергосбыт» реализует социальные программы поддержки населения и бюджетных учреждений, включая специальные тарифные условия для социально незащищенных категорий граждан.",2005,"Ставрополь, Россия",700+,Энергосбыт,Остапченко Борис,https://stavropol.tns-e.ru
SVAV,"ПАО «СОЛЛЕРС» — российская автомобилестроительная компания, специализирующаяся на производстве легковых и коммерческих автомобилей под брендами UAZ, Fiat, Isuzu и Sollers. Компания является одним из ключевых игроков российского автопрома с производственными мощностями в Ульяновске (УАЗ), Владивостоке (Mazda Sollers) и Набережных Челнах (Ford Sollers). Основная продукция включает внедорожники УАЗ, коммерческие автомобили Fiat Ducato, легковые модели Fiat и Isuzu, а также специальную технику. Компания активно развивает собственные инженерные компетенции, включая разработку новых моделей с электрическими и гибридными силовыми установками. В 2023 году запущена программа глубокой локализации производства с созданием отечественных аналогов импортных комплектующих. Особое внимание уделяется цифровизации производства и внедрению Industry 4.0. «СОЛЛЕРС» занимает около 15% рынка коммерческого транспорта в России и активно развивает экспортные поставки в страны СНГ, Ближнего Востока и Латинской Америки.",2002,"Москва, Россия",22+,Автомобилестроение,Соболев Николай,https://www.sollers-auto.com
SVCB,"ПАО «Совкомбанк» — один из крупнейших частных банков России, входящий в топ-10 банков страны по размеру активов. Банк предоставляет полный спектр финансовых услуг для частных и корпоративных клиентов, включая розничное и корпоративное кредитование, ипотеку, инвестиционные продукты и страхование. Особую известность банк получил благодаря своим инновационным цифровым продуктам, таким как кредитная карта «Халва» с функцией рассрочки, которая стала одним из самых популярных финансовых продуктов в России. Совкомбанк активно развивает экосистему финансовых услуг, включая мобильное приложение с искусственным интеллектом для управления финансами. Банк имеет одну из самых разветвленных сетей отделений в регионах России, что позволяет ему обслуживать клиентов по всей стране. В последние годы Совкомбанк активно инвестирует в технологии, включая блокчейн и машинное обучение для скоринга, что позволяет ему предлагать конкурентные условия по кредитам. Банк также развивает направление ESG-финансирования, поддерживая экологические и социальные проекты.",1990,"Москва, Россия","36,000+",Банковский сектор,Дмитрий Гусев,https://www.sovcombank.ru
SVET,"ПАО «Светофор Групп» — одна из крупнейших российских розничных сетей формата «жесткого дискаунтера», специализирующаяся на продаже товаров повседневного спроса по сверхнизким ценам. Компания основана в 2009 году и входит в тройку лидеров рынка FMCG-ритейла в России по количеству магазинов (более 10 000 точек по всей стране). Основной ассортимент: продукты питания (60%), хозяйственные товары (25%), косметика и бытовая химия (15%). Сетка делает ставку на минимальные наценки (в среднем 10-15%), работу с локальными поставщиками и упрощенный формат магазинов (площадь 300-800 м²). В 2022-2023 годах компания активно расширялась в регионах, открывая до 50 новых магазинов еженедельно. Входит в число системообразующих ритейлеров по версии Минпромторга РФ. Владеет собственными логистическими центрами и развивает private label (бренды «Красная цена», «Есть!»).",2017,"Санкт-Петербург, Россия",22+,Розничная торговля,Догаев Артём,https://svetofor-group.ru
SVETP,"ПАО «Светофор Групп» (прив. акции) — одна из крупнейших российских розничных сетей формата «жесткого дискаунтера», специализирующаяся на продаже товаров повседневного спроса по сверхнизким ценам. Компания основана в 2009 году и входит в тройку лидеров рынка FMCG-ритейла в России по количеству магазинов (более 10 000 точек по всей стране). Основной ассортимент: продукты питания (60%), хозяйственные товары (25%), косметика и бытовая химия (15%). Сетка делает ставку на минимальные наценки (в среднем 10-15%), работу с локальными поставщиками и упрощенный формат магазинов (площадь 300-800 м²). В 2022-2023 годах компания активно расширялась в регионах, открывая до 50 новых магазинов еженедельно. Входит в число системообразующих ритейлеров по версии Минпромторга РФ. Владеет собственными логистическими центрами и развивает private label (бренды «Красная цена», «Есть!»).",2017,"Санкт-Петербург, Россия",22+,Розничная торговля,Догаев Артём,https://svetofor-group.ru
T,"Т-Технологии — технологическая компания, развивающая финансовую и лайфстайл экосистему. С момента основания в 2006 году Группа разработала полный комплекс технологических решений и услуг в таких сферах, как интернет-банкинг, брокерские услуги, торговый эквайринг и другие сервисы для продавцов, страхование, банковские услуги в сегменте МСБ и многое другое. Группа обслуживает более 50 млн розничных клиентов и более 1,3 млн клиентов в сегменте малого и среднего бизнеса. Информация о наличии условий для возможного возникновения конфликта интересов: Брокер входит в одну группу Эмитента, распространяет информацию о деятельности Эмитента и получает выгоду (вознаграждение) за исполнение поручений Инвесторов на совершение сделок с акциями Эмитента. Для снижения риска возникновения конфликта интересов: Брокер распространяет достоверную информацию, раскрытую Эмитентом, а при исполнении поручений – руководствуется исключительно интересами Инвестора.",2006,"Москва, Россия","20,000+",Информационные технологии,Станислав Близнюк.,https://t-tech.ru
TASB,"ПАО «Тамбовская энергосбытовая компания» — крупнейший гарантирующий поставщик электроэнергии в Тамбовской области, обеспечивающий энергоснабжение более 400 тысяч потребителей (население, предприятия и организации). Компания осуществляет полный цикл услуг: продажу электроэнергии, расчеты за потребленные ресурсы, технологическое присоединение к электросетям, энергоконсалтинг. Входит в структуру ПАО «ТНС энерго» (дочернее общество «Интер РАО»). Особое внимание уделяет цифровизации: внедрена система интеллектуального учета электроэнергии (АИИС КУЭ), развиваются онлайн-сервисы (личный кабинет, мобильное приложение), доля безналичных платежей превышает 80%. Компания активно участвует в программах энергосбережения и повышения энергоэффективности в регионе, реализует социальные инициативы (льготные тарифы для отдельных категорий граждан). По итогам 2023 года объем поставок составил более 3.5 млрд кВт·ч.",2005,"Тамбов, Россия",270+,Электроэнергетика,Мурзин Александр,https://tambov.es.tns-e.ru
TASBP,"ПАО «Тамбовская энергосбытовая компания» (прив. акции) — крупнейший гарантирующий поставщик электроэнергии в Тамбовской области, обеспечивающий энергоснабжение более 400 тысяч потребителей (население, предприятия и организации). Компания осуществляет полный цикл услуг: продажу электроэнергии, расчеты за потребленные ресурсы, технологическое присоединение к электросетям, энергоконсалтинг. Входит в структуру ПАО «ТНС энерго» (дочернее общество «Интер РАО»). Особое внимание уделяет цифровизации: внедрена система интеллектуального учета электроэнергии (АИИС КУЭ), развиваются онлайн-сервисы (личный кабинет, мобильное приложение), доля безналичных платежей превышает 80%. Компания активно участвует в программах энергосбережения и повышения энергоэффективности в регионе, реализует социальные инициативы (льготные тарифы для отдельных категорий граждан). По итогам 2023 года объем поставок составил более 3.5 млрд кВт·ч.",2005,"Тамбов, Россия",270+,Электроэнергетика,Мурзин Александр,https://tambov.es.tns-e.ru
TATN,"ПАО «Татнефть» — одна из крупнейших российских нефтяных компаний, занимающая 6-е место по объёму добычи нефти в стране. Компания осуществляет полный цикл операций: от разведки и добычи до переработки и сбыта нефтепродуктов. Основные активы расположены в Татарстане, где разрабатывается одно из старейших и крупнейших в России Ромашкинское месторождение с извлекаемыми запасами около 3 млрд тонн нефти. «Татнефть» отличается высокой степенью вертикальной интеграции, владея НПЗ «ТАНЕКО» мощностью 14 млн тонн нефти в год и сетью АЗС «Татнефть» (более 600 станций). Компания активно развивает нефтехимическое направление (производство шин, синтетического каучука) и альтернативную энергетику (гелиостанции, биотопливо). В 2023 году добыча составила 30.2 млн тонн нефти, переработка — 11.4 млн тонн. «Татнефть» известна своими инновациями в области повышения нефтеотдачи пластов и экологических технологий.",1950,"Альметьевск, Республика Татарстан, Россия","80,500+",Нефтегазовая отрасль,Наиль Маганов,https://www.tatneft.ru
TATNP,"ПАО «Татнефть» (прив. акции) — одна из крупнейших российских нефтяных компаний, занимающая 6-е место по объёму добычи нефти в стране. Компания осуществляет полный цикл операций: от разведки и добычи до переработки и сбыта нефтепродуктов. Основные активы расположены в Татарстане, где разрабатывается одно из старейших и крупнейших в России Ромашкинское месторождение с извлекаемыми запасами около 3 млрд тонн нефти. «Татнефть» отличается высокой степенью вертикальной интеграции, владея НПЗ «ТАНЕКО» мощностью 14 млн тонн нефти в год и сетью АЗС «Татнефть» (более 600 станций). Компания активно развивает нефтехимическое направление (производство шин, синтетического каучука) и альтернативную энергетику (гелиостанции, биотопливо). В 2023 году добыча составила 30.2 млн тонн нефти, переработка — 11.4 млн тонн. «Татнефть» известна своими инновациями в области повышения нефтеотдачи пластов и экологических технологий.",1950,"Альметьевск, Республика Татарстан, Россия","80,500+",Нефтегазовая отрасль,Наиль Маганов,https://www.tatneft.ru
TGKA,"ПАО «ТГК-1» (Территориальная генерирующая компания №1) — одна из ведущих энергогенерирующих компаний Северо-Западного региона России. Компания объединяет 53 электростанции в Санкт-Петербурге, Ленинградской области, Республике Карелия и Мурманской области, включая гидроэлектростанции на реках Волхов, Свирь, Вуокса и Тулома. Установленная электрическая мощность составляет 6,9 ГВт, тепловая — 13,5 тыс. Гкал/ч. ТГК-1 является основным поставщиком тепловой энергии для Санкт-Петербурга и важным участником оптового рынка электроэнергии. Компания активно модернизирует оборудование, внедряет цифровые технологии управления энергосистемой и развивает возобновляемую энергетику (малые ГЭС, ветрогенерация). В 2023 году выработка электроэнергии составила 29,5 млрд кВт·ч, тепловой энергии — 26,3 млн Гкал. ТГК-1 входит в состав Группы «Газпром энергохолдинг» и играет ключевую роль в обеспечении энергобезопасности Северо-Запада России.",2005,"Санкт-Петербург, Россия","7,500+",Электроэнергетика,Вадим Ведерчик ,https://www.tgc1.ru
TGKB,"ПАО «ТГК-2» (Территориальная генерирующая компания №2) — крупный энергетический холдинг, осуществляющий производство электрической и тепловой энергии в Центральном федеральном округе России. Компания объединяет 17 электростанций в Москве, Московской области и других регионах ЦФО, включая крупные ТЭЦ (ТЭЦ-11, ТЭЦ-12, ТЭЦ-16 и другие). Установленная электрическая мощность составляет 10.8 ГВт, тепловая — 34.2 тыс. Гкал/ч, что делает ТГК-2 одним из ключевых поставщиков энергии в столичном регионе. Компания обеспечивает теплом и электроэнергией более 15 млн человек, обслуживая важные социальные объекты и промышленные предприятия. Входит в состав Группы «Газпром энергохолдинг». Особое внимание уделяет экологической безопасности: внедряет современные системы очистки выбросов, переводит оборудование на более экологичные виды топлива. В 2023 году выработка электроэнергии составила 42.3 млрд кВт·ч, тепловой энергии — 52.1 млн Гкал. Ведутся масштабные программы модернизации генерирующего оборудования с увеличением КПД до 58%.",2005,"Москва, Россия","5,000+",Электроэнергетика,Иванова Юлия,https://www.tgc-2.ru
TGKBP,"ПАО «ТГК-2» (Территориальная генерирующая компания №2, прив. акции) — крупный энергетический холдинг, осуществляющий производство электрической и тепловой энергии в Центральном федеральном округе России. Компания объединяет 17 электростанций в Москве, Московской области и других регионах ЦФО, включая крупные ТЭЦ (ТЭЦ-11, ТЭЦ-12, ТЭЦ-16 и другие). Установленная электрическая мощность составляет 10.8 ГВт, тепловая — 34.2 тыс. Гкал/ч, что делает ТГК-2 одним из ключевых поставщиков энергии в столичном регионе. Компания обеспечивает теплом и электроэнергией более 15 млн человек, обслуживая важные социальные объекты и промышленные предприятия. Входит в состав Группы «Газпром энергохолдинг». Особое внимание уделяет экологической безопасности: внедряет современные системы очистки выбросов, переводит оборудование на более экологичные виды топлива. В 2023 году выработка электроэнергии составила 42.3 млрд кВт·ч, тепловой энергии — 52.1 млн Гкал. Ведутся масштабные программы модернизации генерирующего оборудования с увеличением КПД до 58%.",2005,"Москва, Россия","5,000+",Электроэнергетика,Иванова Юлия,https://www.tgc-2.ru
TGKN,"ПАО «ТГК-14» (Территориальная генерирующая компания №14) — крупный энергетический холдинг, осуществляющий производство и поставку тепловой и электрической энергии в Забайкальском крае и Республике Бурятия. Компания объединяет 9 электростанций, включая Читинскую ТЭЦ-1, Улан-Удэнскую ТЭЦ-1 и другие объекты генерации. Установленная электрическая мощность составляет 1,2 ГВт, тепловая — 5,8 тыс. Гкал/ч. ТГК-14 является основным поставщиком тепловой энергии для городов Чита и Улан-Удэ, обеспечивая теплоснабжение более 1 млн жителей. Компания входит в структуру «Интер РАО — Электрогенерация» и играет ключевую роль в энергосистеме Дальневосточного федерального округа. Особое внимание уделяется модернизации оборудования, повышению энергоэффективности и экологической безопасности. В 2023 году выработка электроэнергии составила 4,8 млрд кВт·ч, тепловой энергии — 7,2 млн Гкал. Компания активно участвует в социальных программах регионов присутствия, реализует проекты по газификации и развитию энергетической инфраструктуры.",2004,"Чита, Россия","4,700+",Электроэнергетика,Александр Николаенко,https://www.tgc-14.ru
